序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
19,臺中市,2008/02,忠明,3.6,0.63,-,22.1,55,40,29.43,7.81,21.62,2.141,0.313,1.829,-,14.42,-,-,74.13,-
20,臺中市,2008/02,豐原,3.7,0.58,-,22.3,61,33,24.87,6.03,18.84,1.927,0.205,1.722,-,13.94,-,-,77.67,-
21,臺中市,2008/02,沙鹿,4.0,0.46,-,31.8,54,37,15.65,2.15,13.46,-,-,-,-,13.49,-,-,75.68,-
22,臺中市,2008/02,大里,2.7,0.61,427.41,18.8,60,41,29.91,8.75,21.16,1.899,0.246,1.653,-,14.8,-,-,71.6,-
23,臺南市,2008/02,新營,3.9,0.5,-,27.9,99,49,20.58,2.98,17.59,2.183,0.127,2.056,-,15.32,-,-,73.65,-
24,臺南市,2008/02,善化,4.5,0.48,400.79,25.0,92,54,22.87,3.77,19.1,-,-,-,-,16.26,-,-,80.27,-
25,臺南市,2008/02,安南,4.1,0.47,-,28.6,93,51,21.32,3.77,17.71,1.999,0.157,1.842,-,16.2,-,-,73.38,-
26,臺南市,2008/02,臺南,4.1,0.61,-,26.5,82,54,24.3,3.99,20.32,2.197,0.287,1.91,-,15.32,-,-,75.13,-
27,高雄市,2008/02,左營,6.2,0.64,-,25.0,93,64,31.17,5.44,25.72,2.206,0.243,1.963,-,17.1,-,-,74.07,-
28,高雄市,2008/02,楠梓,3.7,0.49,-,24.0,101,60,28.56,6.63,21.93,1.829,0.162,1.667,-,17.2,-,-,73.43,-
29,高雄市,2008/02,前金,5.5,0.72,-,24.2,103,71,32.44,5.81,26.63,2.362,0.28,2.081,-,17.58,-,-,69.5,-
30,高雄市,2008/02,前鎮,4.2,0.89,-,20.8,112,70,46.58,11.48,35.1,-,-,-,-,18.19,-,-,70.44,-
31,高雄市,2008/02,復興,7.7,1.08,-,21.5,110,73,47.64,13.77,33.87,-,-,-,-,17.64,-,-,70.98,-
32,高雄市,2008/02,小港,11.9,0.81,-,20.7,103,69,50.84,15.21,35.64,2.129,0.415,1.714,-,18.83,-,-,67.09,-
33,高雄市,2008/02,鳳山,13.4,0.73,-,23.0,120,67,41.31,10.2,31.11,2.243,0.417,1.826,-,17.34,-,-,79.78,-
34,高雄市,2008/02,林園,17.8,0.68,-,22.9,117,64,43.76,12.39,31.37,2.404,0.531,1.872,-,19.02,-,-,72.94,-
35,高雄市,2008/02,大寮,7.9,0.65,-,24.5,126,80,33.21,6.22,26.99,-,-,-,-,18.59,-,-,65.88,-
36,高雄市,2008/02,仁武,11.8,0.6,-,20.4,95,61,37.18,8.23,29.07,2.554,0.582,1.972,-,18.04,-,-,73.84,-
37,高雄市,2008/02,橋頭,4.9,0.59,-,23.1,103,60,28.34,4.63,23.71,-,-,-,-,17.03,-,-,74.25,-
38,高雄市,2008/02,美濃,2.1,0.49,-,26.6,83,55,15.81,3.69,12.13,-,-,-,-,17.71,-,-,78.96,-
39,基隆市,2008/02,基隆,2.9,0.48,-,33.1,39,28,17.9,4.78,13.11,1.898,0.139,1.759,-,14.39,-,-,79.09,-
40,新竹市,2008/02,新竹,4.6,0.52,-,28.9,57,43,23.68,4.76,18.91,2.217,0.212,2.005,-,13.88,-,-,79.86,-
41,嘉義市,2008/02,嘉義,4.7,0.6,-,20.7,83,58,28.06,4.31,23.75,2.129,0.219,1.91,-,13.72,-,-,73.15,-
42,宜蘭縣,2008/02,宜蘭,2.3,0.52,396.45,26.4,32,21,14.51,2.34,12.16,-,-,-,-,16.16,-,-,81.84,-
43,宜蘭縣,2008/02,冬山,2.1,0.47,-,26.6,33,18,18.48,4.78,13.69,-,-,-,-,14.99,-,-,79.61,-
44,桃園市,2008/02,桃園,5.4,0.59,-,27.8,55,33,26.67,6.17,20.51,2.183,0.2,1.983,-,13.55,-,-,81.98,-
45,桃園市,2008/02,中壢,6.4,0.78,-,22.8,69,38,41.87,14.96,26.91,2.398,0.366,2.032,-,13.04,-,-,84.34,-
46,桃園市,2008/02,大園,4.5,0.4,-,35.4,49,36,20.63,4.59,16.04,-,-,-,-,13.5,-,-,81.28,-
47,桃園市,2008/02,龍潭,3.2,0.51,-,31.5,54,30,23.16,5.14,18.02,-,-,-,-,11.99,-,-,87.98,-
48,桃園市,2008/02,平鎮,5.9,0.53,-,27.5,61,35,26.66,4.85,21.81,-,-,-,-,12.53,-,-,78.41,-
49,桃園市,2008/02,觀音,5.9,0.36,-,40.4,65,36,10.84,1.16,9.66,-,-,-,-,13.43,-,-,79.27,-
50,新竹縣,2008/02,竹東,1.6,0.47,-,27.8,43,25,19.09,4.34,14.74,-,-,-,-,13.59,-,-,78.74,-
51,新竹縣,2008/02,湖口,4.3,0.37,-,35.6,53,39,14.78,3.46,11.32,-,-,-,-,13.54,-,-,78.43,-
52,苗栗縣,2008/02,苗栗,5.7,0.54,-,27.1,59,36,24.42,5.65,18.76,-,-,-,-,13.8,-,-,79.45,-
53,苗栗縣,2008/02,頭份,4.8,0.48,-,30.3,59,36,21.76,4.45,17.31,-,-,-,-,13.72,-,-,78.92,-
54,苗栗縣,2008/02,三義,2.6,0.39,-,28.8,38,26,14.93,2.11,12.79,-,-,-,-,11.53,-,-,88.6,-
55,彰化縣,2008/02,彰化,4.4,0.54,-,21.9,69,44,30.66,7.98,22.68,-,-,-,-,14.42,-,-,70.87,-
56,彰化縣,2008/02,線西,4.7,0.35,-,32.3,61,37,16.16,2.35,13.79,-,-,-,-,-,-,-,75.95,-
57,彰化縣,2008/02,二林,3.1,0.43,-,34.7,55,36,13.79,1.92,11.85,-,-,-,-,14.66,-,-,76.82,-
58,南投縣,2008/02,南投,4.6,0.67,-,19.5,65,44,29.03,7.59,21.43,1.968,0.224,1.745,-,15.24,-,-,74.66,-
59,南投縣,2008/02,埔里,2.2,0.55,-,22.8,55,41,18.14,2.44,15.69,-,-,-,-,16.02,-,-,71.9,-
60,南投縣,2008/02,竹山,3.2,0.56,-,21.8,72,48,25.54,4.76,20.78,-,-,-,-,14.88,-,-,79.64,-
61,雲林縣,2008/02,斗六,3.1,0.52,-,24.4,73,51,24.63,4.39,20.24,-,-,-,-,15.54,-,-,75.79,-
62,雲林縣,2008/02,崙背,4.3,0.44,-,32.5,76,40,15.87,2.01,13.86,-,-,-,-,15.65,-,-,75.19,-
63,雲林縣,2008/02,臺西,4.3,0.37,-,42.7,58,34,10.06,1.1,8.94,-,-,-,-,15.0,-,-,79.21,-
64,嘉義縣,2008/02,朴子,3.2,0.42,-,30.2,88,44,14.65,1.85,12.79,-,-,-,-,15.28,-,-,75.21,-
65,嘉義縣,2008/02,新港,3.4,0.44,-,28.6,79,51,16.62,3.02,13.61,-,-,-,-,14.06,-,-,74.07,-
66,屏東縣,2008/02,屏東,3.3,0.63,-,25.4,99,56,23.19,3.39,19.8,2.162,0.211,1.95,-,18.28,-,-,70.27,-
67,屏東縣,2008/02,潮州,4.6,0.58,-,29.6,106,68,21.28,2.74,18.54,-,-,-,-,18.62,-,-,70.24,-
68,屏東縣,2008/02,恆春,2.3,0.25,384.37,49.4,20,12,4.79,1.59,3.2,-,-,-,-,19.89,-,-,75.89,-
69,臺東縣,2008/02,臺東,2.3,0.45,-,36.0,23,12,11.79,3.31,8.48,-,-,-,-,19.15,-,-,73.05,-
70,臺東縣,2008/02,關山,2.5,-,-,31.5,23,12,7.98,1.72,6.26,-,-,-,-,16.61,-,-,78.38,-
71,花蓮縣,2008/02,花蓮,2.2,0.62,-,21.5,34,20,21.31,5.01,16.29,-,-,-,-,17.45,-,-,80.08,-
72,澎湖縣,2008/02,馬公,1.9,0.37,-,47.2,66,40,-,-,-,-,-,-,-,13.6,-,-,75.23,-
73,金門縣,2008/02,金門,8.6,0.57,-,38.6,94,63,16.17,3.21,12.95,-,-,-,-,12.91,-,-,66.14,-
74,連江縣,2008/02,馬祖,6.7,0.44,-,48.9,84,53,9.29,1.53,7.74,-,-,-,-,8.13,-,-,66.18,-
,,,,,,,,,,,,,,,,,,,,,
