序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","平均風向 WD_HR (degress)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
13,新北市,2007/10,淡水,2.3,0.36,-,36.7,31,16,9.51,1.76,7.74,-,-,-,-,-,23.85,-,-,76.5,-
14,新北市,2007/10,汐止,4.0,0.38,-,29.8,38,19,20.68,4.03,16.64,-,-,-,-,-,24.66,-,-,81.31,-
15,新北市,2007/10,土城,2.8,0.43,-,31.3,36,19,16.89,2.48,14.39,2.186,0.22,1.965,-,-,24.78,-,-,72.81,-
16,新北市,2007/10,林口,2.6,0.27,-,38.8,51,20,12.13,1.86,10.25,-,-,-,-,-,22.42,-,-,75.48,-
17,新北市,2007/10,萬里,1.7,0.2,-,44.4,64,-,6.5,1.35,5.13,-,-,-,-,-,23.74,-,-,81.43,-
18,臺中市,2007/10,西屯,2.9,0.42,-,35.1,58,34,18.64,2.79,15.83,2.114,0.192,1.923,-,-,24.64,-,-,68.74,-
19,臺中市,2007/10,忠明,3.2,0.55,-,31.3,58,38,26.29,4.95,21.33,1.893,0.3,1.593,-,-,25.06,-,-,70.99,-
20,臺中市,2007/10,豐原,3.6,0.49,-,32.5,58,31,19.47,2.54,16.92,1.882,0.216,1.666,-,-,25.15,-,-,73.2,-
21,臺中市,2007/10,沙鹿,3.7,0.39,-,36.7,87,31,17.64,2.23,15.4,-,-,-,-,-,25.74,-,-,72.6,-
22,臺中市,2007/10,大里,4.0,0.59,418.53,31.2,67,40,25.02,4.86,20.16,2.003,0.3,1.703,-,-,25.94,-,-,66.29,-
23,臺南市,2007/10,新營,4.1,0.43,-,37.8,97,44,16.66,2.59,14.06,2.167,0.153,2.013,-,-,25.16,-,-,74.73,-
24,臺南市,2007/10,善化,5.2,0.41,411.62,43.7,94,46,20.05,3.33,16.72,-,-,-,-,-,26.05,-,-,84.35,-
25,臺南市,2007/10,安南,5.3,0.45,-,28.5,91,47,25.62,3.34,22.28,2.142,0.239,1.902,-,-,25.82,-,-,72.86,-
26,臺南市,2007/10,臺南,5.0,0.57,-,44.1,77,49,24.12,2.53,21.59,2.888,0.58,2.308,-,-,25.83,-,-,75.75,-
27,高雄市,2007/10,左營,7.4,0.72,-,48.8,87,53,27.24,4.18,23.07,2.292,0.308,1.983,-,-,26.99,-,-,73.85,-
28,高雄市,2007/10,楠梓,5.8,0.52,-,40.1,98,57,26.39,5.32,21.07,2.031,0.232,1.807,-,-,26.74,-,-,76.18,-
29,高雄市,2007/10,前金,7.0,0.66,-,47.0,88,58,25.11,2.93,22.17,2.353,0.308,2.045,-,-,27.34,-,-,72.31,-
30,高雄市,2007/10,前鎮,9.1,0.79,-,40.0,112,56,38.24,6.83,31.41,-,-,-,-,-,27.68,-,-,74.39,-
31,高雄市,2007/10,復興,10.8,1.03,-,46.8,89,55,39.57,8.12,31.46,-,-,-,-,-,27.09,-,-,73.51,-
32,高雄市,2007/10,小港,10.9,0.64,-,37.2,94,61,36.35,6.36,29.99,2.117,0.323,1.794,-,-,27.8,-,-,72.59,-
33,高雄市,2007/10,鳳山,8.8,0.77,-,40.9,110,57,26.56,4.85,21.71,2.468,0.45,2.018,-,-,26.78,-,-,79.74,-
34,高雄市,2007/10,林園,7.4,0.5,-,56.2,103,53,15.22,2.94,12.28,2.07,0.223,1.846,-,-,27.28,-,-,79.85,-
35,高雄市,2007/10,大寮,9.0,0.6,-,43.2,117,70,23.52,2.5,21.01,-,-,-,-,-,26.96,-,-,72.92,-
36,高雄市,2007/10,仁武,9.8,0.58,-,44.8,95,61,30.7,5.24,25.46,2.171,0.318,1.853,-,-,27.75,-,-,76.55,-
37,高雄市,2007/10,橋頭,5.5,0.54,-,44.9,97,53,24.47,3.71,20.76,-,-,-,-,-,26.97,-,-,75.26,-
38,高雄市,2007/10,美濃,3.1,0.42,-,48.6,79,54,9.03,0.68,8.29,-,-,-,-,-,26.53,-,-,81.19,-
39,基隆市,2007/10,基隆,1.8,0.32,-,38.1,32,19,12.62,2.97,9.64,1.744,0.102,1.642,-,-,24.39,-,-,76.82,-
40,新竹市,2007/10,新竹,3.9,0.41,-,29.0,45,26,17.89,2.34,15.53,2.034,0.15,1.885,-,-,25.04,-,-,66.74,-
41,嘉義市,2007/10,嘉義,4.7,0.53,-,34.9,82,49,22.63,3.21,19.42,2.204,0.262,1.942,-,-,25.3,-,-,71.9,-
42,宜蘭縣,2007/10,宜蘭,2.5,0.38,397.78,26.1,35,18,11.57,2.45,9.11,-,-,-,-,-,25.0,-,-,85.0,-
43,宜蘭縣,2007/10,冬山,2.4,0.34,-,25.9,41,17,15.14,4.07,11.06,-,-,-,-,-,23.76,-,-,82.26,-
44,桃園市,2007/10,桃園,5.5,0.47,-,29.0,48,22,22.03,3.43,18.6,1.976,0.196,1.781,-,-,24.09,-,-,75.84,-
45,桃園市,2007/10,中壢,5.4,0.6,-,25.6,59,26,31.08,9.3,21.78,2.148,0.319,1.828,-,-,23.94,-,-,76.73,-
46,桃園市,2007/10,大園,3.3,0.26,-,34.8,46,22,17.46,3.61,13.85,-,-,-,-,-,23.71,-,-,75.56,-
47,桃園市,2007/10,龍潭,2.2,0.32,-,33.9,46,17,14.65,2.94,11.71,-,-,-,-,-,22.64,-,-,80.29,-
48,桃園市,2007/10,平鎮,5.0,0.39,-,31.6,48,22,18.95,2.62,16.34,-,-,-,-,-,23.48,-,-,72.03,-
49,桃園市,2007/10,觀音,6.2,0.22,-,39.6,54,24,12.27,1.7,10.55,-,-,-,-,-,24.12,-,-,73.6,-
50,新竹縣,2007/10,竹東,1.6,0.3,-,35.6,42,17,10.86,2.06,8.8,-,-,-,-,-,24.8,-,-,71.66,-
51,新竹縣,2007/10,湖口,3.6,0.25,-,37.1,45,27,11.93,2.07,9.85,-,-,-,-,-,24.41,-,-,72.62,-
52,苗栗縣,2007/10,苗栗,4.4,0.41,-,33.2,54,31,17.55,3.26,14.29,-,-,-,-,-,24.82,-,-,71.64,-
53,苗栗縣,2007/10,頭份,4.1,0.35,-,36.1,52,27,16.39,2.2,14.18,-,-,-,-,-,24.83,-,-,70.82,-
54,苗栗縣,2007/10,三義,2.6,0.32,-,39.1,50,28,12.35,1.27,11.07,-,-,-,-,-,21.79,-,-,79.77,-
55,彰化縣,2007/10,彰化,4.7,0.49,-,29.6,62,36,30.13,6.56,23.57,2.171,0.226,1.945,-,-,24.21,-,-,70.01,-
56,彰化縣,2007/10,線西,5.0,0.32,-,32.1,79,34,19.35,2.92,16.41,-,-,-,-,-,25.02,-,-,73.24,-
57,彰化縣,2007/10,二林,3.0,0.35,-,37.7,59,40,14.35,1.78,12.56,-,-,-,-,-,25.43,-,-,72.85,-
58,南投縣,2007/10,南投,4.5,0.59,-,33.2,66,40,25.11,4.59,20.52,1.901,0.192,1.709,-,-,25.35,-,-,72.72,-
59,南投縣,2007/10,埔里,2.4,0.5,-,40.3,62,46,15.94,2.16,13.79,-,-,-,-,-,24.73,-,-,68.11,-
60,南投縣,2007/10,竹山,2.9,0.47,-,36.7,66,45,19.52,2.74,16.78,-,-,-,-,-,25.06,-,-,77.03,-
61,雲林縣,2007/10,斗六,3.6,0.46,-,37.6,72,46,20.46,3.05,17.41,-,-,-,-,-,25.96,-,-,73.1,-
62,雲林縣,2007/10,崙背,4.1,0.36,-,37.5,88,38,15.65,2.02,13.63,-,-,-,-,-,25.5,-,-,75.73,-
63,雲林縣,2007/10,臺西,4.5,0.31,-,45.2,60,32,13.14,1.41,11.72,-,-,-,-,-,25.27,-,-,77.26,-
64,嘉義縣,2007/10,朴子,4.0,0.36,-,40.0,85,37,15.44,1.81,13.63,-,-,-,-,-,25.46,-,-,74.6,-
65,嘉義縣,2007/10,新港,3.5,0.39,-,37.9,84,41,15.97,3.23,12.73,-,-,-,-,-,24.56,-,-,74.35,-
66,屏東縣,2007/10,屏東,5.5,0.68,-,45.3,88,52,18.04,2.62,15.42,2.207,0.235,1.973,-,-,26.96,-,-,74.01,-
67,屏東縣,2007/10,潮州,4.8,0.44,-,44.9,85,51,12.22,1.64,10.57,-,-,-,-,-,26.38,-,-,75.72,-
68,屏東縣,2007/10,恆春,1.8,0.15,368.87,45.6,31,16,3.64,1.61,2.01,-,-,-,-,-,26.05,-,-,76.78,-
69,臺東縣,2007/10,臺東,1.4,0.3,-,37.0,35,17,8.58,3.06,5.52,-,-,-,-,-,26.51,-,-,72.64,-
70,臺東縣,2007/10,關山,2.6,-,-,33.2,28,14,5.95,1.98,3.98,-,-,-,-,-,24.6,-,-,73.93,-
71,花蓮縣,2007/10,花蓮,1.8,0.47,-,24.7,32,16,15.35,3.4,11.94,-,-,-,-,-,25.42,-,-,76.98,-
72,澎湖縣,2007/10,馬公,1.7,0.23,-,49.3,47,22,4.29,1.05,3.23,-,-,-,-,-,25.32,-,-,71.46,-
73,金門縣,2007/10,金門,7.9,0.4,-,44.9,91,45,11.69,1.75,9.93,-,-,-,-,-,24.69,-,-,65.15,-
74,連江縣,2007/10,馬祖,4.0,0.28,-,53.5,60,33,6.75,1.74,5.01,-,-,-,-,-,23.85,-,-,74.81,-
,,,,,,,,,,,,,,,,,,,,,,
